id	direction	compartment	gpr	name	pathway	equation	definition	flux	min_flux	lowerbound	max_flux	upperbound
rxn01358_c0	=	Cytosol	(Hot5F3Rast.CDS.3207_mRNA or Hot5F3Rast.CDS.3207)	inosine:phosphate alpha-D-ribosyltransferase [c0]		(1) cpd00009[c0] + (1) cpd00246[c0] <=> (1) cpd00226[c0] + (1) cpd00475[c0]	(1) Phosphate [c0][c0] + (1) Inosine [c0][c0] <=> (1) HYXN [c0][c0] + (1) Ribose 1-phosphate [c0][c0]	0	-1000	-1000	1000	1000
rxn03433_c0	>	Cytosol	(Hot5F3Rast.CDS.4305_mRNA or Hot5F3Rast.CDS.4305)	(S)-3-Hydroxyisobutyryl-CoA hydrolase [c0]		(1) cpd00001[c0] + (1) cpd03572[c0] => (1) cpd00010[c0] + (1) cpd00067[c0] + (1) cpd00876[c0]	(1) H2O [c0][c0] + (1) (S)-3-Hydroxyisobutyryl-CoA [c0][c0] => (1) CoA [c0][c0] + (1) H+ [c0][c0] + (1) 3-Hydroxyisobutyrate [c0][c0]	0	0	0	0	1000
rxn10231_c0	>	Cytosol	Hot5F3Rast.CDS.5328	isohexadecanoyl-CDPdiacylglycerol-serine O-phosphatidyltransferase [c0]		(1) cpd00054[c0] + (1) cpd15688[c0] => (1) cpd00046[c0] + (2) cpd00067[c0] + (1) cpd15694[c0]	(1) L-Serine [c0][c0] + (1) CDP-1,2-diisohexadecanoylglycerol [c0][c0] => (1) CMP [c0][c0] + (2) H+ [c0][c0] + (1) Diisohexadecanoylphosphatidylserine [c0][c0]	0	0	0	0	1000
rxn01867_c0	>	Cytosol	(Hot5F3Rast.CDS.640 or Hot5F3Rast.CDS.640_mRNA)	p-cumic alcohol:NAD+ oxidoreductase [c0]		(1) cpd00001[c0] + (1) cpd00003[c0] + (1) cpd00447[c0] => (1) cpd00004[c0] + (2) cpd00067[c0] + (1) cpd00540[c0]	(1) H2O [c0][c0] + (1) NAD [c0][c0] + (1) Betaine aldehyde [c0][c0] => (1) NADH [c0][c0] + (2) H+ [c0][c0] + (1) BET [c0][c0]	0	0	0	0	1000
rxn10270_c0	>	Cytosol	(Hot5F3Rast.CDS.3817 or Hot5F3Rast.CDS.3817_mRNA)	isohexadecanoyl-Phosphatidylglycerophosphate phosphohydrolase [c0]		(1) cpd00001[c0] + (1) cpd15721[c0] => (1) cpd00009[c0] + (1) cpd00067[c0] + (1) cpd15727[c0]	(1) H2O [c0][c0] + (1) Diisohexadecanoylphosphatidylglycerophosphate [c0][c0] => (1) Phosphate [c0][c0] + (1) H+ [c0][c0] + (1) Diisohexadecanoylphosphatidylglycerol [c0][c0]	0	0	0	0	1000
rxn12637_c0	=	Cytosol	((Hot5F3Rast.CDS.3699_mRNA or Hot5F3Rast.CDS.2604_mRNA or Hot5F3Rast.CDS.3699 or Hot5F3Rast.CDS.2604) or (Hot5F3Rast.CDS.3762 or Hot5F3Rast.CDS.3762_mRNA) or (Hot5F3Rast.CDS.2465_mRNA or Hot5F3Rast.CDS.5044 or Hot5F3Rast.CDS.2465 or Hot5F3Rast.CDS.5044_mRNA) or (Hot5F3Rast.CDS.4751_mRNA or Hot5F3Rast.CDS.4751) or (Hot5F3Rast.CDS.2797_mRNA or Hot5F3Rast.CDS.2797))	RXN0-6987.c [c0]		(1) cpd00001[c0] + (1) cpd11589[c0] <=> (1) cpd00033[c0] + (1) cpd00041[c0]	(1) H2O [c0][c0] + (1) gly-asp-L [c0][c0] <=> (1) Glycine [c0][c0] + (1) L-Aspartate [c0][c0]	0	0	-1000	0	1000
rxn01219_c0	=	Cytosol	(Hot5F3Rast.CDS.2942_mRNA or Hot5F3Rast.CDS.2942)	ATP:dCMP phosphotransferase [c0]		(1) cpd00002[c0] + (1) cpd00067[c0] + (1) cpd00206[c0] <=> (1) cpd00008[c0] + (1) cpd00533[c0]	(1) ATP [c0][c0] + (1) H+ [c0][c0] + (1) dCMP [c0][c0] <=> (1) ADP [c0][c0] + (1) dCDP [c0][c0]	0	-16.4085	-1000	0	1000
rxn02168_c0	=	Cytosol	(Hot5F3Rast.CDS.526 or Hot5F3Rast.CDS.526_mRNA)	(3R)-3-Hydroxybutanoyl-CoA hydro-lyase [c0]		(1) cpd02234[c0] <=> (1) cpd00001[c0] + (1) cpd00650[c0]	(1) (R)-3-Hydroxybutanoyl-CoA [c0][c0] <=> (1) H2O [c0][c0] + (1) Crotonyl-CoA [c0][c0]	0	-1000	-1000	4.57277	1000
rxn00800_c0	=	Cytosol	(Hot5F3Rast.CDS.3712 or Hot5F3Rast.CDS.3712)	N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) [c0]		(1) cpd02375[c0] <=> (1) cpd00018[c0] + (1) cpd00106[c0]	(1) Adenylosuccinate [c0][c0] <=> (1) AMP [c0][c0] + (1) Fumarate [c0][c0]	0.0714857	0.00714857	-1000	24.6195	1000
rxn09177_c0	>	Cytosol	Hot5F3Rast.CDS.2891	(R)-4'-Phosphopantothenate:L-cysteine ligase [c0]		(1) cpd00052[c0] + (1) cpd00084[c0] + (1) cpd02201[c0] => (1) cpd00012[c0] + (1) cpd00046[c0] + (2) cpd00067[c0] + (1) cpd02666[c0]	(1) CTP [c0][c0] + (1) L-Cysteine [c0][c0] + (1) 4-phosphopantothenate [c0][c0] => (1) PPi [c0][c0] + (1) CMP [c0][c0] + (2) H+ [c0][c0] + (1) (R)-4'-Phosphopantothenoyl-L-cysteine [c0][c0]	0	0	0	0.00118741	1000
rxn00211_c0	=	Cytosol	(Hot5F3Rast.CDS.2805 or Hot5F3Rast.CDS.2805_mRNA)	UDP-glucose:NAD+ 6-oxidoreductase [c0]		(1) cpd00001[c0] + (2) cpd00003[c0] + (1) cpd00026[c0] <=> (2) cpd00004[c0] + (3) cpd00067[c0] + (1) cpd00144[c0]	(1) H2O [c0][c0] + (2) NAD [c0][c0] + (1) UDP-glucose [c0][c0] <=> (2) NADH [c0][c0] + (3) H+ [c0][c0] + (1) UDPglucuronate [c0][c0]	0	0	-1000	0	1000
rxn00179_c0	>	Cytosol	Hot5F3Rast.CDS.3997	ATP:L-glutamate 5-phosphotransferase [c0]		(1) cpd00002[c0] + (1) cpd00023[c0] => (1) cpd00008[c0] + (1) cpd02097[c0]	(1) ATP [c0][c0] + (1) L-Glutamate [c0][c0] => (1) ADP [c0][c0] + (1) L-Glutamyl 5-phosphate [c0][c0]	0	0	0	49.2246	1000
rxn01210_c0	>	Cytosol	(Hot5F3Rast.CDS.2662 and Hot5F3Rast.CDS.2662)	10-Formyltetrahydrofolate:L-glutamate ligase (ADP-forming) [c0]		(1) cpd00002[c0] + (1) cpd00023[c0] + (1) cpd00201[c0] => (1) cpd00008[c0] + (1) cpd00009[c0] + (1) cpd00067[c0] + (1) cpd03524[c0]	(1) ATP [c0][c0] + (1) L-Glutamate [c0][c0] + (1) 10-Formyltetrahydrofolate [c0][c0] => (1) ADP [c0][c0] + (1) Phosphate [c0][c0] + (1) H+ [c0][c0] + (1) 10-Formyl-THF-L-glutamate [c0][c0]	0	0	0	0	1000
rxn00192_c0	>	Cytosol	(Hot5F3Rast.CDS.2415 or (Hot5F3Rast.CDS.768 or Hot5F3Rast.CDS.3748_mRNA or Hot5F3Rast.CDS.3259 or Hot5F3Rast.CDS.3748 or Hot5F3Rast.CDS.4580_mRNA or Hot5F3Rast.CDS.2030_mRNA or Hot5F3Rast.CDS.2030 or Hot5F3Rast.CDS.3259_mRNA or Hot5F3Rast.CDS.424_mRNA or Hot5F3Rast.CDS.540_mRNA or Hot5F3Rast.CDS.2608_mRNA or Hot5F3Rast.CDS.4580 or Hot5F3Rast.CDS.768_mRNA or Hot5F3Rast.CDS.540 or Hot5F3Rast.CDS.424 or Hot5F3Rast.CDS.2608))	acetyl-CoA:L-glutamate N-acetyltransferase [c0]		(1) cpd00022[c0] + (1) cpd00023[c0] => (1) cpd00010[c0] + (1) cpd00067[c0] + (1) cpd00477[c0]	(1) Acetyl-CoA [c0][c0] + (1) L-Glutamate [c0][c0] => (1) CoA [c0][c0] + (1) H+ [c0][c0] + (1) N-Acetyl-L-glutamate [c0][c0]	0	0	0	49.2246	1000
